"field","agency","report_year_13","report_year_py","report_year_cy","funding_13","funding_py","funding_cy","difference_13","dif_pct_13","difference_py","dif_pct_py"
"Non-S&E","Total",2013,2014,2015,1181558,1136854,1071197,-110361,"-0.0934",-65657,"-0.0578"
"Non-S&E","Total",2013,2015,2016,1181558,1071197,1112516,-69042,"-0.0584",41319,"0.0386"
"Non-S&E","Total",2013,2016,2017,1181558,1112516,1215935,34377,"0.0291",103419,"0.0930"
"Non-S&E","Total",2013,2017,2018,1181558,1215935,1247806,66248,"0.0561",31871,"0.0262"
"Non-S&E","Total",2013,2018,2019,1181558,1247806,1242901,61343,"0.0519",-4905,"-0.0039"
"Non-S&E","Total",2013,2019,2020,1181558,1242901,1237536,55978,"0.0474",-5365,"-0.0043"
"Non-S&E","Total",2013,2020,2021,1181558,1237536,1355900,174342,"0.1476",118364,"0.0956"
"Non-S&E","Total",2013,2021,2022,1181558,1355900,1491165,309607,"0.2620",135265,"0.0998"
"Non-S&E","Total",2013,2022,2023,1181558,1491165,1724799,543241,"0.4598",233634,"0.1567"
"Non-S&E","USDA",2013,2012,2013,15856,9785,15856,0,"0.0000",6071,"0.6204"
"Non-S&E","USDA",2013,2013,2014,15856,15856,11243,-4613,"-0.2909",-4613,"-0.2909"
"Non-S&E","USDA",2013,2014,2015,15856,11243,13891,-1965,"-0.1239",2648,"0.2355"
"Non-S&E","USDA",2013,2015,2016,15856,13891,41230,25374,"1.6003",27339,"1.9681"
"Non-S&E","USDA",2013,2016,2017,15856,41230,44811,28955,"1.8261",3581,"0.0869"
"Non-S&E","USDA",2013,2017,2018,15856,44811,43367,27511,"1.7351",-1444,"-0.0322"
"Non-S&E","USDA",2013,2018,2019,15856,43367,50286,34430,"2.1714",6919,"0.1595"
"Non-S&E","USDA",2013,2019,2020,15856,50286,38928,23072,"1.4551",-11358,"-0.2259"
"Non-S&E","USDA",2013,2020,2021,15856,38928,37471,21615,"1.3632",-1457,"-0.0374"
"Non-S&E","USDA",2013,2021,2022,15856,37471,49102,33246,"2.0967",11631,"0.3104"
"Non-S&E","USDA",2013,2022,2023,15856,49102,41119,25263,"1.5933",-7983,"-0.1626"
"Other sciences","DOD",2013,2012,2013,86838,99041,86838,0,"0.0000",-12203,"-0.1232"
"Other sciences","DOD",2013,2013,2014,86838,86838,68015,-18823,"-0.2168",-18823,"-0.2168"
"Other sciences","DOD",2013,2014,2015,86838,68015,75103,-11735,"-0.1351",7088,"0.1042"
"Other sciences","DOD",2013,2015,2016,86838,75103,106948,20110,"0.2316",31845,"0.4240"
"Other sciences","DOD",2013,2016,2017,86838,106948,83355,-3483,"-0.0401",-23593,"-0.2206"
"Other sciences","DOD",2013,2017,2018,86838,83355,59317,-27521,"-0.3169",-24038,"-0.2884"
"Other sciences","DOD",2013,2018,2019,86838,59317,61607,-25231,"-0.2906",2290,"0.0386"
"Other sciences","DOD",2013,2019,2020,86838,61607,67986,-18852,"-0.2171",6379,"0.1035"
"Other sciences","DOD",2013,2020,2021,86838,67986,83084,-3754,"-0.0432",15098,"0.2221"
"Other sciences","DOD",2013,2021,2022,86838,83084,111293,24455,"0.2816",28209,"0.3395"
"Other sciences","DOD",2013,2022,2023,86838,111293,110168,23330,"0.2687",-1125,"-0.0101"
"Other sciences","DOE",2013,2012,2013,28188,24857,28188,0,"0.0000",3331,"0.1340"
"Other sciences","DOE",2013,2013,2014,28188,28188,24652,-3536,"-0.1254",-3536,"-0.1254"
"Other sciences","DOE",2013,2014,2015,28188,24652,19760,-8428,"-0.2990",-4892,"-0.1984"
"Other sciences","DOE",2013,2015,2016,28188,19760,17111,-11077,"-0.3930",-2649,"-0.1341"
"Other sciences","DOE",2013,2016,2017,28188,17111,15143,-13045,"-0.4628",-1968,"-0.1150"
"Other sciences","DOE",2013,2017,2018,28188,15143,14072,-14116,"-0.5008",-1071,"-0.0707"
"Other sciences","DOE",2013,2018,2019,28188,14072,15825,-12363,"-0.4386",1753,"0.1246"
"Other sciences","DOE",2013,2019,2020,28188,15825,16286,-11902,"-0.4222",461,"0.0291"
"Other sciences","DOE",2013,2020,2021,28188,16286,27183,-1005,"-0.0357",10897,"0.6691"
"Other sciences","DOE",2013,2021,2022,28188,27183,30488,2300,"0.0816",3305,"0.1216"
"Other sciences","DOE",2013,2022,2023,28188,30488,28646,458,"0.0162",-1842,"-0.0604"
"Other sciences","HHS",2013,2012,2013,132507,114371,132507,0,"0.0000",18136,"0.1586"
"Other sciences","HHS",2013,2013,2014,132507,132507,120973,-11534,"-0.0870",-11534,"-0.0870"
"Other sciences","HHS",2013,2014,2015,132507,120973,125308,-7199,"-0.0543",4335,"0.0358"
"Other sciences","HHS",2013,2015,2016,132507,125308,109392,-23115,"-0.1744",-15916,"-0.1270"
"Other sciences","HHS",2013,2016,2017,132507,109392,102373,-30134,"-0.2274",-7019,"-0.0642"
"Other sciences","HHS",2013,2017,2018,132507,102373,94545,-37962,"-0.2865",-7828,"-0.0765"
"Other sciences","HHS",2013,2018,2019,132507,94545,109025,-23482,"-0.1772",14480,"0.1532"
"Other sciences","HHS",2013,2019,2020,132507,109025,103419,-29088,"-0.2195",-5606,"-0.0514"
"Other sciences","HHS",2013,2020,2021,132507,103419,105064,-27443,"-0.2071",1645,"0.0159"
"Other sciences","HHS",2013,2021,2022,132507,105064,127119,-5388,"-0.0407",22055,"0.2099"
"Other sciences","HHS",2013,2022,2023,132507,127119,137975,5468,"0.0413",10856,"0.0854"
"Other sciences","NASA",2013,2012,2013,3787,3051,3787,0,"0.0000",736,"0.2412"
"Other sciences","NASA",2013,2013,2014,3787,3787,4090,303,"0.0800",303,"0.0800"
"Other sciences","NASA",2013,2014,2015,3787,4090,4799,1012,"0.2672",709,"0.1733"
"Other sciences","NASA",2013,2015,2016,3787,4799,6499,2712,"0.7161",1700,"0.3542"
"Other sciences","NASA",2013,2016,2017,3787,6499,3353,-434,"-0.1146",-3146,"-0.4841"
"Other sciences","NASA",2013,2017,2018,3787,3353,6253,2466,"0.6512",2900,"0.8649"
"Other sciences","NASA",2013,2018,2019,3787,6253,7534,3747,"0.9894",1281,"0.2049"
"Other sciences","NASA",2013,2019,2020,3787,7534,5536,1749,"0.4618",-1998,"-0.2652"
"Other sciences","NASA",2013,2020,2021,3787,5536,6139,2352,"0.6211",603,"0.1089"
"Other sciences","NASA",2013,2021,2022,3787,6139,5005,1218,"0.3216",-1134,"-0.1847"
"Other sciences","NASA",2013,2022,2023,3787,5005,7513,3726,"0.9839",2508,"0.5011"
"Other sciences","NSF",2013,2012,2013,134861,135202,134861,0,"0.0000",-341,"-0.0025"
"Other sciences","NSF",2013,2013,2014,134861,134861,142797,7936,"0.0588",7936,"0.0588"
"Other sciences","NSF",2013,2014,2015,134861,142797,130761,-4100,"-0.0304",-12036,"-0.0843"
"Other sciences","NSF",2013,2015,2016,134861,130761,130489,-4372,"-0.0324",-272,"-0.0021"
"Other sciences","NSF",2013,2016,2017,134861,130489,107555,-27306,"-0.2025",-22934,"-0.1758"
"Other sciences","NSF",2013,2017,2018,134861,107555,107135,-27726,"-0.2056",-420,"-0.0039"
"Other sciences","NSF",2013,2018,2019,134861,107135,107619,-27242,"-0.2020",484,"0.0045"
"Other sciences","NSF",2013,2019,2020,134861,107619,98257,-36604,"-0.2714",-9362,"-0.0870"
"Other sciences","NSF",2013,2020,2021,134861,98257,97128,-37733,"-0.2798",-1129,"-0.0115"
"Other sciences","NSF",2013,2021,2022,134861,97128,136900,2039,"0.0151",39772,"0.4095"
"Other sciences","NSF",2013,2022,2023,134861,136900,128831,-6030,"-0.0447",-8069,"-0.0589"
"Other sciences","Other agencies",2013,2012,2013,46232,55471,46232,0,"0.0000",-9239,"-0.1666"
"Other sciences","Other agencies",2013,2013,2014,46232,46232,52168,5936,"0.1284",5936,"0.1284"
"Other sciences","Other agencies",2013,2014,2015,46232,52168,79154,32922,"0.7121",26986,"0.5173"
"Other sciences","Other agencies",2013,2015,2016,46232,79154,82750,36518,"0.7899",3596,"0.0454"
"Other sciences","Other agencies",2013,2016,2017,46232,82750,74716,28484,"0.6161",-8034,"-0.0971"
"Other sciences","Other agencies",2013,2017,2018,46232,74716,59371,13139,"0.2842",-15345,"-0.2054"
"Other sciences","Other agencies",2013,2018,2019,46232,59371,56153,9921,"0.2146",-3218,"-0.0542"
"Other sciences","Other agencies",2013,2019,2020,46232,56153,62797,16565,"0.3583",6644,"0.1183"
"Other sciences","Other agencies",2013,2020,2021,46232,62797,51708,5476,"0.1184",-11089,"-0.1766"
"Other sciences","Other agencies",2013,2021,2022,46232,51708,44996,-1236,"-0.0267",-6712,"-0.1298"
"Other sciences","Other agencies",2013,2022,2023,46232,44996,50963,4731,"0.1023",5967,"0.1326"
"Other sciences","Total",2013,2012,2013,440907,439085,440907,0,"0.0000",1822,"0.0041"
"Other sciences","Total",2013,2013,2014,440907,440907,422427,-18480,"-0.0419",-18480,"-0.0419"
"Other sciences","Total",2013,2014,2015,440907,422427,445829,4922,"0.0112",23402,"0.0554"
"Other sciences","Total",2013,2015,2016,440907,445829,465328,24421,"0.0554",19499,"0.0437"
"Other sciences","Total",2013,2016,2017,440907,465328,395190,-45717,"-0.1037",-70138,"-0.1507"
"Other sciences","Total",2013,2017,2018,440907,395190,348882,-92025,"-0.2087",-46308,"-0.1172"
"Other sciences","Total",2013,2018,2019,440907,348882,365246,-75661,"-0.1716",16364,"0.0469"
"Other sciences","Total",2013,2019,2020,440907,365246,361870,-79037,"-0.1793",-3376,"-0.0092"
"Other sciences","Total",2013,2020,2021,440907,361870,375591,-65316,"-0.1481",13721,"0.0379"
"Other sciences","Total",2013,2021,2022,440907,375591,463625,22718,"0.0515",88034,"0.2344"
"Other sciences","Total",2013,2022,2023,440907,463625,475264,34357,"0.0779",11639,"0.0251"
"Other sciences","USDA",2013,2012,2013,8494,7092,8494,0,"0.0000",1402,"0.1977"
"Other sciences","USDA",2013,2013,2014,8494,8494,9732,1238,"0.1457",1238,"0.1457"
"Other sciences","USDA",2013,2014,2015,8494,9732,10944,2450,"0.2884",1212,"0.1245"
"Other sciences","USDA",2013,2015,2016,8494,10944,12139,3645,"0.4291",1195,"0.1092"
"Other sciences","USDA",2013,2016,2017,8494,12139,8695,201,"0.0237",-3444,"-0.2837"
"Other sciences","USDA",2013,2017,2018,8494,8695,8189,-305,"-0.0359",-506,"-0.0582"
"Other sciences","USDA",2013,2018,2019,8494,8189,7483,-1011,"-0.1190",-706,"-0.0862"
"Other sciences","USDA",2013,2019,2020,8494,7483,7589,-905,"-0.1065",106,"0.0142"
"Other sciences","USDA",2013,2020,2021,8494,7589,5285,-3209,"-0.3778",-2304,"-0.3036"
"Other sciences","USDA",2013,2021,2022,8494,5285,7824,-670,"-0.0789",2539,"0.4804"
"Other sciences","USDA",2013,2022,2023,8494,7824,11168,2674,"0.3148",3344,"0.4274"
"Physical sciences","DOD",2013,2012,2013,509931,539602,509931,0,"0.0000",-29671,"-0.0550"
"Physical sciences","DOD",2013,2013,2014,509931,509931,482176,-27755,"-0.0544",-27755,"-0.0544"
"Physical sciences","DOD",2013,2014,2015,509931,482176,470676,-39255,"-0.0770",-11500,"-0.0239"
"Physical sciences","DOD",2013,2015,2016,509931,470676,524819,14888,"0.0292",54143,"0.1150"
"Physical sciences","DOD",2013,2016,2017,509931,524819,519148,9217,"0.0181",-5671,"-0.0108"
"Physical sciences","DOD",2013,2017,2018,509931,519148,519678,9747,"0.0191",530,"0.0010"
"Physical sciences","DOD",2013,2018,2019,509931,519678,602761,92830,"0.1820",83083,"0.1599"
"Physical sciences","DOD",2013,2019,2020,509931,602761,636533,126602,"0.2483",33772,"0.0560"
"Physical sciences","DOD",2013,2020,2021,509931,636533,652154,142223,"0.2789",15621,"0.0245"
"Physical sciences","DOD",2013,2021,2022,509931,652154,689033,179102,"0.3512",36879,"0.0565"
"Physical sciences","DOD",2013,2022,2023,509931,689033,739426,229495,"0.4501",50393,"0.0731"
"Physical sciences","DOE",2013,2012,2013,611537,622539,611537,0,"0.0000",-11002,"-0.0177"
"Physical sciences","DOE",2013,2013,2014,611537,611537,606224,-5313,"-0.0087",-5313,"-0.0087"
"Physical sciences","DOE",2013,2014,2015,611537,606224,590977,-20560,"-0.0336",-15247,"-0.0252"
"Physical sciences","DOE",2013,2015,2016,611537,590977,702451,90914,"0.1487",111474,"0.1886"
"Physical sciences","DOE",2013,2016,2017,611537,702451,737521,125984,"0.2060",35070,"0.0499"
"Physical sciences","DOE",2013,2017,2018,611537,737521,717275,105738,"0.1729",-20246,"-0.0275"
"Physical sciences","DOE",2013,2018,2019,611537,717275,744538,133001,"0.2175",27263,"0.0380"
"Physical sciences","DOE",2013,2019,2020,611537,744538,753358,141821,"0.2319",8820,"0.0118"
"Physical sciences","DOE",2013,2020,2021,611537,753358,794160,182623,"0.2986",40802,"0.0542"
"Physical sciences","DOE",2013,2021,2022,611537,794160,896758,285221,"0.4664",102598,"0.1292"
"Physical sciences","DOE",2013,2022,2023,611537,896758,977109,365572,"0.5978",80351,"0.0896"
"Physical sciences","HHS",2013,2012,2013,531688,568557,531688,0,"0.0000",-36869,"-0.0648"
"Physical sciences","HHS",2013,2013,2014,531688,531688,489051,-42637,"-0.0802",-42637,"-0.0802"
"Physical sciences","HHS",2013,2014,2015,531688,489051,512342,-19346,"-0.0364",23291,"0.0476"
"Physical sciences","HHS",2013,2015,2016,531688,512342,518825,-12863,"-0.0242",6483,"0.0127"
"Physical sciences","HHS",2013,2016,2017,531688,518825,539580,7892,"0.0148",20755,"0.0400"
"Physical sciences","HHS",2013,2017,2018,531688,539580,578298,46610,"0.0877",38718,"0.0718"
"Physical sciences","HHS",2013,2018,2019,531688,578298,599560,67872,"0.1277",21262,"0.0368"
"Physical sciences","HHS",2013,2019,2020,531688,599560,599833,68145,"0.1282",273,"0.0005"
"Physical sciences","HHS",2013,2020,2021,531688,599833,639784,108096,"0.2033",39951,"0.0666"
"Physical sciences","HHS",2013,2021,2022,531688,639784,678601,146913,"0.2763",38817,"0.0607"
"Physical sciences","HHS",2013,2022,2023,531688,678601,729009,197321,"0.3711",50408,"0.0743"
"Physical sciences","NASA",2013,2012,2013,455156,476565,455156,0,"0.0000",-21409,"-0.0449"
"Physical sciences","NASA",2013,2013,2014,455156,455156,442909,-12247,"-0.0269",-12247,"-0.0269"
"Physical sciences","NASA",2013,2014,2015,455156,442909,449981,-5175,"-0.0114",7072,"0.0160"
"Physical sciences","NASA",2013,2015,2016,455156,449981,468522,13366,"0.0294",18541,"0.0412"
"Physical sciences","NASA",2013,2016,2017,455156,468522,460413,5257,"0.0115",-8109,"-0.0173"
"Physical sciences","NASA",2013,2017,2018,455156,460413,510272,55116,"0.1211",49859,"0.1083"
"Physical sciences","NASA",2013,2018,2019,455156,510272,591203,136047,"0.2989",80931,"0.1586"
"Physical sciences","NASA",2013,2019,2020,455156,591203,637480,182324,"0.4006",46277,"0.0783"
"Physical sciences","NASA",2013,2020,2021,455156,637480,588784,133628,"0.2936",-48696,"-0.0764"
"Physical sciences","NASA",2013,2021,2022,455156,588784,673387,218231,"0.4795",84603,"0.1437"
"Physical sciences","NASA",2013,2022,2023,455156,673387,769296,314140,"0.6902",95909,"0.1424"
"Physical sciences","NSF",2013,2012,2013,1058367,1115122,1058367,0,"0.0000",-56755,"-0.0509"
"Physical sciences","NSF",2013,2013,2014,1058367,1058367,1000320,-58047,"-0.0548",-58047,"-0.0548"
"Physical sciences","NSF",2013,2014,2015,1058367,1000320,972400,-85967,"-0.0812",-27920,"-0.0279"
"Physical sciences","NSF",2013,2015,2016,1058367,972400,980495,-77872,"-0.0736",8095,"0.0083"
"Physical sciences","NSF",2013,2016,2017,1058367,980495,1023893,-34474,"-0.0326",43398,"0.0443"
"Physical sciences","NSF",2013,2017,2018,1058367,1023893,1041989,-16378,"-0.0155",18096,"0.0177"
"Physical sciences","NSF",2013,2018,2019,1058367,1041989,1056571,-1796,"-0.0017",14582,"0.0140"
"Physical sciences","NSF",2013,2019,2020,1058367,1056571,1069307,10940,"0.0103",12736,"0.0121"
"Physical sciences","NSF",2013,2020,2021,1058367,1069307,1069608,11241,"0.0106",301,"0.0003"
"Physical sciences","NSF",2013,2021,2022,1058367,1069608,1164338,105971,"0.1001",94730,"0.0886"
"Physical sciences","NSF",2013,2022,2023,1058367,1164338,1284351,225984,"0.2135",120013,"0.1031"
"Physical sciences","Other agencies",2013,2012,2013,136966,145337,136966,0,"0.0000",-8371,"-0.0576"
"Physical sciences","Other agencies",2013,2013,2014,136966,136966,130180,-6786,"-0.0495",-6786,"-0.0495"
"Physical sciences","Other agencies",2013,2014,2015,136966,130180,110418,-26548,"-0.1938",-19762,"-0.1518"
"Physical sciences","Other agencies",2013,2015,2016,136966,110418,86773,-50193,"-0.3665",-23645,"-0.2141"
"Physical sciences","Other agencies",2013,2016,2017,136966,86773,96846,-40120,"-0.2929",10073,"0.1161"
"Physical sciences","Other agencies",2013,2017,2018,136966,96846,98319,-38647,"-0.2822",1473,"0.0152"
"Physical sciences","Other agencies",2013,2018,2019,136966,98319,90535,-46431,"-0.3390",-7784,"-0.0792"
"Physical sciences","Other agencies",2013,2019,2020,136966,90535,89707,-47259,"-0.3450",-828,"-0.0091"
"Physical sciences","Other agencies",2013,2020,2021,136966,89707,95917,-41049,"-0.2997",6210,"0.0692"
"Physical sciences","Other agencies",2013,2021,2022,136966,95917,99499,-37467,"-0.2735",3582,"0.0373"
"Physical sciences","Other agencies",2013,2022,2023,136966,99499,107688,-29278,"-0.2138",8189,"0.0823"
"Physical sciences","Total",2013,2012,2013,3311054,3474586,3311054,0,"0.0000",-163532,"-0.0471"
"Physical sciences","Total",2013,2013,2014,3311054,3311054,3155599,-155455,"-0.0470",-155455,"-0.0470"
"Physical sciences","Total",2013,2014,2015,3311054,3155599,3111777,-199277,"-0.0602",-43822,"-0.0139"
"Physical sciences","Total",2013,2015,2016,3311054,3111777,3288043,-23011,"-0.0069",176266,"0.0566"
"Physical sciences","Total",2013,2016,2017,3311054,3288043,3384753,73699,"0.0223",96710,"0.0294"
"Physical sciences","Total",2013,2017,2018,3311054,3384753,3472520,161466,"0.0488",87767,"0.0259"
"Physical sciences","Total",2013,2018,2019,3311054,3472520,3691494,380440,"0.1149",218974,"0.0631"
"Physical sciences","Total",2013,2019,2020,3311054,3691494,3789953,478899,"0.1446",98459,"0.0267"
"Physical sciences","Total",2013,2020,2021,3311054,3789953,3846606,535552,"0.1617",56653,"0.0149"
"Physical sciences","Total",2013,2021,2022,3311054,3846606,4211858,900804,"0.2721",365252,"0.0950"
"Physical sciences","Total",2013,2022,2023,3311054,4211858,4621763,1310709,"0.3959",409905,"0.0973"
"Physical sciences","USDA",2013,2012,2013,7409,6864,7409,0,"0.0000",545,"0.0794"
"Physical sciences","USDA",2013,2013,2014,7409,7409,4739,-2670,"-0.3604",-2670,"-0.3604"
"Physical sciences","USDA",2013,2014,2015,7409,4739,4983,-2426,"-0.3274",244,"0.0515"
"Physical sciences","USDA",2013,2015,2016,7409,4983,6158,-1251,"-0.1688",1175,"0.2358"
"Physical sciences","USDA",2013,2016,2017,7409,6158,7352,-57,"-0.0077",1194,"0.1939"
"Physical sciences","USDA",2013,2017,2018,7409,7352,6689,-720,"-0.0972",-663,"-0.0902"
"Physical sciences","USDA",2013,2018,2019,7409,6689,6326,-1083,"-0.1462",-363,"-0.0543"
"Physical sciences","USDA",2013,2019,2020,7409,6326,3735,-3674,"-0.4959",-2591,"-0.4096"
"Physical sciences","USDA",2013,2020,2021,7409,3735,6199,-1210,"-0.1633",2464,"0.6597"
"Physical sciences","USDA",2013,2021,2022,7409,6199,10242,2833,"0.3824",4043,"0.6522"
"Physical sciences","USDA",2013,2022,2023,7409,10242,14884,7475,"1.0089",4642,"0.4532"
"Psychology","DOD",2013,2012,2013,44553,43550,44553,0,"0.0000",1003,"0.0230"
"Psychology","DOD",2013,2013,2014,44553,44553,48678,4125,"0.0926",4125,"0.0926"
"Psychology","DOD",2013,2014,2015,44553,48678,63207,18654,"0.4187",14529,"0.2985"
"Psychology","DOD",2013,2015,2016,44553,63207,70044,25491,"0.5722",6837,"0.1082"
"Psychology","DOD",2013,2016,2017,44553,70044,58683,14130,"0.3172",-11361,"-0.1622"
"Psychology","DOD",2013,2017,2018,44553,58683,51839,7286,"0.1635",-6844,"-0.1166"
"Psychology","DOD",2013,2018,2019,44553,51839,54441,9888,"0.2219",2602,"0.0502"
"Psychology","DOD",2013,2019,2020,44553,54441,49418,4865,"0.1092",-5023,"-0.0923"
"Psychology","DOD",2013,2020,2021,44553,49418,53146,8593,"0.1929",3728,"0.0754"
"Psychology","DOD",2013,2021,2022,44553,53146,58670,14117,"0.3169",5524,"0.1039"
"Psychology","DOD",2013,2022,2023,44553,58670,80354,35801,"0.8036",21684,"0.3696"
"Psychology","DOE",2013,2012,2013,573,794,573,0,"0.0000",-221,"-0.2783"
"Psychology","DOE",2013,2013,2014,573,573,331,-242,"-0.4223",-242,"-0.4223"
"Psychology","DOE",2013,2014,2015,573,331,161,-412,"-0.7190",-170,"-0.5136"
"Psychology","DOE",2013,2015,2016,573,161,417,-156,"-0.2723",256,"1.5901"
"Psychology","DOE",2013,2016,2017,573,417,625,52,"0.0908",208,"0.4988"
"Psychology","DOE",2013,2017,2018,573,625,3123,2550,"4.4503",2498,"3.9968"
"Psychology","DOE",2013,2018,2019,573,3123,362,-211,"-0.3682",-2761,"-0.8841"
"Psychology","DOE",2013,2019,2020,573,362,1148,575,"1.0035",786,"2.1713"
"Psychology","DOE",2013,2020,2021,573,1148,1173,600,"1.0471",25,"0.0218"
"Psychology","DOE",2013,2021,2022,573,1173,705,132,"0.2304",-468,"-0.3990"
"Psychology","DOE",2013,2022,2023,573,705,744,171,"0.2984",39,"0.0553"
"Psychology","HHS",2013,2012,2013,531129,617081,531129,0,"0.0000",-85952,"-0.1393"
"Psychology","HHS",2013,2013,2014,531129,531129,502812,-28317,"-0.0533",-28317,"-0.0533"
"Psychology","HHS",2013,2014,2015,531129,502812,506701,-24428,"-0.0460",3889,"0.0077"
"Psychology","HHS",2013,2015,2016,531129,506701,502501,-28628,"-0.0539",-4200,"-0.0083"
"Psychology","HHS",2013,2016,2017,531129,502501,506609,-24520,"-0.0462",4108,"0.0082"
"Psychology","HHS",2013,2017,2018,531129,506609,516038,-15091,"-0.0284",9429,"0.0186"
"Psychology","HHS",2013,2018,2019,531129,516038,549260,18131,"0.0341",33222,"0.0644"
"Psychology","HHS",2013,2019,2020,531129,549260,579184,48055,"0.0905",29924,"0.0545"
"Psychology","HHS",2013,2020,2021,531129,579184,584410,53281,"0.1003",5226,"0.0090"
"Psychology","HHS",2013,2021,2022,531129,584410,645374,114245,"0.2151",60964,"0.1043"
"Psychology","HHS",2013,2022,2023,531129,645374,713565,182436,"0.3435",68191,"0.1057"
"Psychology","NASA",2013,2012,2013,17548,15879,17548,0,"0.0000",1669,"0.1051"
"Psychology","NASA",2013,2013,2014,17548,17548,18521,973,"0.0554",973,"0.0554"
"Psychology","NASA",2013,2014,2015,17548,18521,19867,2319,"0.1322",1346,"0.0727"
"Psychology","NASA",2013,2015,2016,17548,19867,21852,4304,"0.2453",1985,"0.0999"
"Psychology","NASA",2013,2016,2017,17548,21852,21167,3619,"0.2062",-685,"-0.0313"
"Psychology","NASA",2013,2017,2018,17548,21167,19922,2374,"0.1353",-1245,"-0.0588"
"Psychology","NASA",2013,2018,2019,17548,19922,21166,3618,"0.2062",1244,"0.0624"
"Psychology","NASA",2013,2019,2020,17548,21166,20926,3378,"0.1925",-240,"-0.0113"
"Psychology","NASA",2013,2020,2021,17548,20926,18587,1039,"0.0592",-2339,"-0.1118"
"Psychology","NASA",2013,2021,2022,17548,18587,16574,-974,"-0.0555",-2013,"-0.1083"
"Psychology","NASA",2013,2022,2023,17548,16574,16442,-1106,"-0.0630",-132,"-0.0080"
"Psychology","NSF",2013,2012,2013,77086,82848,77086,0,"0.0000",-5762,"-0.0695"
"Psychology","NSF",2013,2013,2014,77086,77086,71871,-5215,"-0.0677",-5215,"-0.0677"
"Psychology","NSF",2013,2014,2015,77086,71871,71121,-5965,"-0.0774",-750,"-0.0104"
"Psychology","NSF",2013,2015,2016,77086,71121,72117,-4969,"-0.0645",996,"0.0140"
"Psychology","NSF",2013,2016,2017,77086,72117,78569,1483,"0.0192",6452,"0.0895"
"Psychology","NSF",2013,2017,2018,77086,78569,80475,3389,"0.0440",1906,"0.0243"
"Psychology","NSF",2013,2018,2019,77086,80475,75000,-2086,"-0.0271",-5475,"-0.0680"
"Psychology","NSF",2013,2019,2020,77086,75000,81100,4014,"0.0521",6100,"0.0813"
"Psychology","NSF",2013,2020,2021,77086,81100,80504,3418,"0.0443",-596,"-0.0073"
"Psychology","NSF",2013,2021,2022,77086,80504,81441,4355,"0.0565",937,"0.0116"
"Psychology","NSF",2013,2022,2023,77086,81441,83291,6205,"0.0805",1850,"0.0227"
"Psychology","Other agencies",2013,2012,2013,99346,92178,99346,0,"0.0000",7168,"0.0778"
"Psychology","Other agencies",2013,2013,2014,99346,99346,105093,5747,"0.0578",5747,"0.0578"
"Psychology","Other agencies",2013,2014,2015,99346,105093,97215,-2131,"-0.0215",-7878,"-0.0750"
"Psychology","Other agencies",2013,2015,2016,99346,97215,91518,-7828,"-0.0788",-5697,"-0.0586"
"Psychology","Other agencies",2013,2016,2017,99346,91518,91941,-7405,"-0.0745",423,"0.0046"
"Psychology","Other agencies",2013,2017,2018,99346,91941,81861,-17485,"-0.1760",-10080,"-0.1096"
"Psychology","Other agencies",2013,2018,2019,99346,81861,79071,-20275,"-0.2041",-2790,"-0.0341"
"Psychology","Other agencies",2013,2019,2020,99346,79071,70825,-28521,"-0.2871",-8246,"-0.1043"
"Psychology","Other agencies",2013,2020,2021,99346,70825,69792,-29554,"-0.2975",-1033,"-0.0146"
"Psychology","Other agencies",2013,2021,2022,99346,69792,71520,-27826,"-0.2801",1728,"0.0248"
"Psychology","Other agencies",2013,2022,2023,99346,71520,80768,-18578,"-0.1870",9248,"0.1293"
"Psychology","Total",2013,2012,2013,776402,859500,776402,0,"0.0000",-83098,"-0.0967"
"Psychology","Total",2013,2013,2014,776402,776402,752501,-23901,"-0.0308",-23901,"-0.0308"
"Psychology","Total",2013,2014,2015,776402,752501,763632,-12770,"-0.0164",11131,"0.0148"
"Psychology","Total",2013,2015,2016,776402,763632,765239,-11163,"-0.0144",1607,"0.0021"
"Psychology","Total",2013,2016,2017,776402,765239,764703,-11699,"-0.0151",-536,"-0.0007"
"Psychology","Total",2013,2017,2018,776402,764703,760293,-16109,"-0.0207",-4410,"-0.0058"
"Psychology","Total",2013,2018,2019,776402,760293,790261,13859,"0.0179",29968,"0.0394"
"Psychology","Total",2013,2019,2020,776402,790261,808930,32528,"0.0419",18669,"0.0236"
"Psychology","Total",2013,2020,2021,776402,808930,812460,36058,"0.0464",3530,"0.0044"
"Psychology","Total",2013,2021,2022,776402,812460,876792,100390,"0.1293",64332,"0.0792"
"Psychology","Total",2013,2022,2023,776402,876792,978784,202382,"0.2607",101992,"0.1163"
"Psychology","USDA",2013,2012,2013,6167,7170,6167,0,"0.0000",-1003,"-0.1399"
"Psychology","USDA",2013,2013,2014,6167,6167,5195,-972,"-0.1576",-972,"-0.1576"
"Psychology","USDA",2013,2014,2015,6167,5195,5360,-807,"-0.1309",165,"0.0318"
"Psychology","USDA",2013,2015,2016,6167,5360,6790,623,"0.1010",1430,"0.2668"
"Psychology","USDA",2013,2016,2017,6167,6790,7109,942,"0.1527",319,"0.0470"
"Psychology","USDA",2013,2017,2018,6167,7109,7035,868,"0.1407",-74,"-0.0104"
"Psychology","USDA",2013,2018,2019,6167,7035,10961,4794,"0.7774",3926,"0.5581"
